FID;PROVNO;KABKOTNO;KECNO;DESANO;PROVINSI;KABKOT;KECAMATAN;DESA;ID2013;Pdk;kelas
109;73;71;40;1;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MARICAYA;7371040001;33.490.000.000.000.000.000;Tinggi
110;73;71;40;2;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MARICAYA BARU;7371040002;33.490.000.000.000.000.000;Tinggi
111;73;71;40;8;SULAWESI SELATAN;MAKASSAR;MAKASSAR;BARA-BARAYA UTARA;7371040008;33.490.000.000.000.000.000;Tinggi
112;73;71;40;3;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MARADEKAYA SELATAN;7371040003;33.490.000.000.000.000.000;Tinggi
113;73;71;40;6;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MARADEKAYA;7371040006;33.490.000.000.000.000.000;Tinggi
114;73;71;40;5;SULAWESI SELATAN;MAKASSAR;MAKASSAR;BARA-BARAYA;7371040005;33.490.000.000.000.000.000;Tinggi
115;73;71;40;13;SULAWESI SELATAN;MAKASSAR;MAKASSAR;BARANA;7371040013;33.490.000.000.000.000.000;Tinggi
116;73;71;40;12;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MACCINI GUSUNG;7371040012;33.490.000.000.000.000.000;Tinggi
117;73;71;40;10;SULAWESI SELATAN;MAKASSAR;MAKASSAR;MACCINI PARANG;7371040010;33.490.000.000.000.000.000;Tinggi
118;73;71;40;9;SULAWESI SELATAN;MAKASSAR;MAKASSAR;BARA-BARAYA TIMUR;7371040009;33.490.000.000.000.000.000;Tinggi
119;73;71;70;8;SULAWESI SELATAN;MAKASSAR;BONTOALA;BONTOALA PARANG;7371070008;26.782.000.000.000.000.000;Tinggi
120;73;71;70;6;SULAWESI SELATAN;MAKASSAR;BONTOALA;BARAYA;7371070006;26.782.000.000.000.000.000;Tinggi
121;73;71;70;1;SULAWESI SELATAN;MAKASSAR;BONTOALA;GADDONG;7371070001;26.782.000.000.000.000.000;Tinggi
122;73;71;70;12;SULAWESI SELATAN;MAKASSAR;BONTOALA;PARANG LAYANG;7371070012;26.782.000.000.000.000.000;Tinggi
123;73;71;70;10;SULAWESI SELATAN;MAKASSAR;BONTOALA;BUNGA EJAYA;7371070010;26.782.000.000.000.000.000;Tinggi
124;73;71;70;9;SULAWESI SELATAN;MAKASSAR;BONTOALA;BONTOALA TUA;7371070009;26.782.000.000.000.000.000;Tinggi
125;73;71;70;7;SULAWESI SELATAN;MAKASSAR;BONTOALA;BONTOALA;7371070007;26.782.000.000.000.000.000;Tinggi
126;73;71;70;2;SULAWESI SELATAN;MAKASSAR;BONTOALA;WAJO BARU;7371070002;26.782.000.000.000.000.000;Tinggi
127;73;71;70;3;SULAWESI SELATAN;MAKASSAR;BONTOALA;TOMPO BALANG;7371070003;26.782.000.000.000.000.000;Tinggi
128;73;71;70;11;SULAWESI SELATAN;MAKASSAR;BONTOALA;LAYANG;7371070011;26.782.000.000.000.000.000;Tinggi
129;73;71;70;5;SULAWESI SELATAN;MAKASSAR;BONTOALA;TIMUNGAN LOMPOA;7371070005;26.782.000.000.000.000.000;Tinggi
130;73;71;70;4;SULAWESI SELATAN;MAKASSAR;BONTOALA;MALIMONGAN BARU;7371070004;26.782.000.000.000.000.000;Tinggi
131;73;71;110;12;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;BULUROKENG;7371110012;4.077.000.000.000.000.000;Rendah
132;73;71;110;13;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;UNTIA;7371110013;4.077.000.000.000.000.000;Rendah
133;73;71;110;5;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;DAYA;7371110005;4.077.000.000.000.000.000;Rendah
134;73;71;110;9;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;P A I;7371110009;4.077.000.000.000.000.000;Rendah
135;73;71;110;11;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;SUDIANG;7371110011;4.077.000.000.000.000.000;Rendah
136;73;71;110;10;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;SUDIANG RAYA;7371110010;4.077.000.000.000.000.000;Rendah
137;73;71;31;9;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;RAPPOCINI;7371031009;17.610.000.000.000.000.000;Sedang
138;73;71;31;7;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;BANTA-BANTAENG;7371031007;17.610.000.000.000.000.000;Sedang
139;73;71;31;1;SULAWESI SELATAN;MAKASSAR;RAPPOCINI;GUNUNG SARI;7371031001;17.610.000.000.000.000.000;Sedang
140;73;71;30;1;SULAWESI SELATAN;MAKASSAR;TAMALATE;BAROMBONG;7371030001;9.436.000.000.000.000.000;Sedang
141;73;71;90;10;SULAWESI SELATAN;MAKASSAR;TALLO;SUWANGGA;7371090010;23.773.000.000.000.000.000;Sedang
142;73;71;110;4;SULAWESI SELATAN;MAKASSAR;BIRING KANAYA;PACCERAKANG;7371110004;4.077.000.000.000.000.000;Rendah
